PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEERNPER,PRERNHLY,PEERNHRO
29468,38,17,50,6,2,39,2,1,47900,1,900,40
29525,46,13,18,6,1,36,2,2,47900,1,975,32
29550,4,19,59,1,1,43,3,1,47900,1,2800,40
29585,40,6,35,6,1,45,1,1,47900,1,2100,38
29586,40,8,35,6,2,45,1,1,47900,1,2540,45
29796,4,2,27,6,1,44,3,1,47900,1,1800,40
29879,38,17,45,2,2,39,2,1,47900,1,900,40
29885,22,15,22,6,1,39,2,1,47900,1,800,40
29958,32,3,25,6,1,43,2,2,47900,1,2000,20
29959,51,2,56,4,2,39,2,1,47900,1,1185,40
29967,49,14,60,1,1,39,2,1,47900,1,1150,40
29969,44,4,21,6,1,40,2,1,47900,1,1100,40
30054,22,16,26,6,2,43,1,2,47900,1,1400,30
30120,42,11,35,6,2,37,2,1,47900,1,1360,40
30122,38,22,25,6,1,36,2,1,47900,1,1300,40
30163,42,10,44,1,2,43,1,1,47900,1,4000,40
30200,43,8,59,6,2,39,2,2,47900,1,1500,30
30209,19,5,28,6,2,44,4,1,47900,1,3000,40
30605,46,13,33,6,2,39,2,2,37340,1,725,25
30759,42,11,58,1,2,39,1,1,45300,1,800,72
30784,46,16,23,6,1,41,1,2,45300,1,800,25
30829,6,21,55,5,1,39,1,1,45300,1,1600,40
30830,22,16,56,4,2,42,1,2,45300,1,900,32
30873,6,21,41,6,1,35,2,1,33100,1,1100,40
30908,9,21,41,4,2,39,1,2,37340,1,1375,30
30914,22,1,57,1,1,39,1,1,37340,1,4700,40
30971,48,15,23,6,2,39,2,1,33100,1,750,35
31128,44,16,22,6,1,43,1,1,45300,1,1500,45
31244,22,12,24,6,1,40,1,2,45300,1,1600,30
31254,45,21,51,3,2,43,1,1,45300,1,2400,40
31324,40,14,31,6,2,39,2,1,33100,1,900,40
31338,32,17,41,1,2,41,2,2,33100,1,2150,25
31339,21,16,41,1,1,39,2,1,33100,1,1000,36
31412,15,22,53,1,1,39,6,1,45300,1,1800,40
31414,22,22,22,6,2,39,6,2,45300,1,1000,8
31449,44,9,56,4,1,39,1,1,45300,1,2320,40
31509,38,17,51,1,2,39,1,1,37340,1,1000,40
31576,41,14,56,1,2,39,2,1,33100,1,1100,40
31577,6,19,58,1,1,33,2,1,33100,1,3600,40
31578,41,15,28,6,2,40,2,1,33100,1,900,40
31762,44,20,34,6,1,35,2,2,33100,1,625,30
44909,1,22,59,1,2,39,1,1,16980,1,900,40
44947,1,18,46,1,1,33,3,1,16980,1,1000,72
45003,38,12,33,6,2,37,2,2,16980,1,1000,5
