PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PRUNEDUR,PRUNTYPE
92319,46,13,35,1,1,39,4,1,35620,52,5
92335,-1,-1,22,6,1,39,1,1,35620,35,6
92340,24,19,31,1,1,44,1,2,35620,8,1
92376,4,1,50,4,1,39,1,1,35620,11,1
92482,36,16,53,1,2,43,4,1,35620,25,2
92483,-1,-1,25,6,1,43,4,1,35620,65,6
92494,46,13,25,6,1,43,1,1,35620,22,5
92496,23,22,52,6,1,39,2,1,35620,0,2
92502,22,22,21,6,1,39,2,1,35620,4,5
92615,47,21,70,1,1,43,4,2,35620,26,5
92621,46,13,21,6,1,41,1,1,35620,12,5
92654,4,19,29,1,1,41,1,1,35620,4,4
92702,21,17,32,6,1,39,2,1,35620,26,4
92770,8,3,69,4,1,42,2,1,35620,47,3
92819,44,9,33,1,1,43,2,1,35620,2,3
92823,42,15,48,5,2,38,2,1,35620,8,3
92827,46,16,20,6,2,38,2,1,35620,8,5
92860,43,15,63,5,2,40,2,1,35620,119,2
92890,44,8,32,6,2,39,4,1,35620,6,1
92950,33,2,56,1,2,40,2,1,35620,35,3
93008,48,16,54,1,2,40,1,1,35620,7,2
93070,4,19,25,6,1,32,1,1,35620,30,5
93072,46,13,16,6,1,40,1,1,35620,11,4
93115,-1,-1,25,6,2,44,1,1,35620,8,6
93206,4,19,34,6,1,40,2,1,35620,52,2
93327,4,19,44,6,1,43,2,1,35620,4,3
93354,43,1,73,6,2,43,1,1,35620,30,3
93410,-1,-1,18,6,1,39,2,1,35620,4,6
93413,-1,-1,23,6,2,40,2,2,35620,4,6
93451,36,2,30,6,1,44,1,1,35620,1,3
93487,38,14,56,4,1,34,2,1,35620,43,3
93490,49,9,39,6,2,43,1,2,35620,4,4
93491,48,15,34,6,1,39,1,1,35620,4,5
93568,40,6,19,6,1,39,1,2,35620,8,5
93583,40,8,32,6,2,45,1,1,35620,4,4
93648,21,17,38,6,1,39,2,1,35620,12,2
93783,45,14,60,4,2,39,1,2,35620,22,4
93785,39,22,62,6,1,39,1,1,35620,12,3
93884,43,6,25,6,1,43,2,2,35620,52,5
93925,22,16,37,6,2,40,2,1,35620,15,2
93980,43,15,48,1,2,39,2,2,35620,2,1
93981,-1,-1,17,6,2,39,2,1,35620,9,6
93984,42,11,59,6,2,39,2,1,35620,35,3
94005,34,1,38,6,1,41,2,1,35620,108,5
94008,21,17,39,4,2,41,2,2,35620,30,4
94010,22,17,29,6,2,34,1,1,35620,61,5
94087,43,15,29,1,2,40,1,1,35620,4,5
94115,46,13,48,4,1,39,3,1,35620,119,2
94118,-1,-1,63,1,2,35,2,1,35620,8,6
94132,-1,-1,22,6,1,40,1,2,35620,119,6
94205,25,16,16,6,1,35,2,2,35620,61,5
94261,-1,-1,27,6,1,39,2,1,35620,119,6
94353,42,11,53,4,2,39,2,1,35620,7,2
94444,-1,-1,23,6,2,43,2,1,35620,108,6
94542,27,9,44,6,1,43,1,1,35620,7,1
94586,42,11,44,5,2,39,1,2,35620,30,3
94633,22,22,19,6,1,39,2,2,35620,2,4
94719,15,21,71,1,1,39,1,1,35620,18,1
94720,43,15,30,6,2,42,1,1,35620,65,5
94760,23,22,71,6,1,40,1,1,35620,108,5
94798,40,8,23,6,2,40,1,2,35620,9,1
94813,27,4,26,6,1,43,1,1,35620,4,4
94972,-1,-1,19,6,2,39,2,2,35620,4,6
98634,32,1,35,6,1,42,1,1,16740,2,4
98943,40,9,23,6,2,43,1,1,16740,3,5
98944,-1,-1,23,6,2,43,1,1,16740,2,6
99063,22,16,56,4,2,43,1,1,16740,12,2
110572,36,2,41,6,2,44,1,1,38900,52,3
110637,51,12,51,1,1,41,1,1,38900,6,2
110647,38,12,19,6,1,40,12,1,38900,4,2
110836,46,13,22,6,2,43,1,1,38900,4,5
110910,42,15,42,4,2,37,1,1,38900,12,5
110913,-1,-1,18,6,1,37,6,1,38900,26,6
111005,26,2,42,1,2,43,1,1,38900,12,4
111058,29,16,44,1,2,40,1,1,38900,8,2
111081,-1,-1,16,6,1,36,4,2,38900,4,6
116995,22,16,35,6,1,39,1,1,39300,9,2
117016,33,17,43,6,2,40,2,1,39300,5,5
117032,-1,-1,18,6,2,39,3,1,39300,12,6
117067,22,17,49,4,2,39,1,1,39300,2,3
117068,39,22,18,6,1,37,1,1,39300,3,3
117072,42,15,35,2,2,39,1,1,39300,21,3
117229,13,21,41,2,1,39,1,1,39300,12,5
117235,42,14,69,4,2,38,2,1,39300,6,4
117248,44,16,34,6,1,39,1,1,39300,22,4
117258,4,19,37,6,1,40,16,1,39300,8,2
122617,17,21,56,4,1,39,1,1,34980,5,2
122670,41,10,27,6,2,43,1,1,34980,1,4
122851,33,17,46,4,2,40,1,1,34980,6,2
122999,27,2,46,1,1,41,1,1,34980,2,5
