PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,GTCBSA,PRFTLF,PRUNEDUR,PRUNTYPE,PELKM1,PULKM2,PULKM3,PULKM4,PULKM5,PULKM6
28181,41,14,43,6,1,39,2,47900,1,52,5,6,-1,-1,-1,-1,-1
28214,23,22,52,6,1,37,2,47900,1,0,5,9,-1,-1,-1,-1,-1
28224,46,13,36,6,2,39,2,47900,1,17,5,9,-1,-1,-1,-1,-1
28295,38,16,26,6,2,39,2,47900,1,22,5,6,4,10,-1,-1,-1
28300,44,13,46,4,1,39,2,47900,1,119,5,6,4,10,-1,-1,-1
28348,51,2,51,6,2,40,2,47900,1,52,2,6,-1,-1,-1,-1,-1
28432,38,17,30,6,2,40,1,47900,1,24,3,1,3,6,8,10,4
28442,46,13,50,6,1,31,1,47900,1,108,5,4,10,-1,-1,-1,-1
28444,46,13,26,6,2,43,1,47900,1,4,5,4,-1,-1,-1,-1,-1
28446,46,13,26,6,2,43,1,47900,1,4,5,4,6,-1,-1,-1,-1
28447,46,13,26,6,2,43,1,47900,1,4,5,4,-1,-1,-1,-1,-1
28455,22,17,18,6,1,40,2,47900,1,2,4,1,3,5,-1,-1,-1
28456,14,16,19,6,2,40,2,47900,1,48,5,1,3,4,-1,-1,-1
28539,34,17,66,3,2,40,2,47900,1,104,5,6,11,12,-1,-1,-1
28542,4,19,24,5,1,37,2,47900,1,52,5,6,-1,-1,-1,-1,-1
28613,32,2,62,6,1,44,2,47900,1,119,2,6,4,-1,-1,-1,-1
28663,4,19,52,6,2,39,2,47900,1,4,5,10,6,-1,-1,-1,-1
28775,43,15,52,6,2,32,1,47900,1,8,2,1,2,3,4,5,6
28805,46,13,43,6,1,33,1,47900,1,9,4,6,4,-1,-1,-1,-1
28814,46,13,20,6,2,39,2,47900,1,2,4,6,10,-1,-1,-1,-1
28825,-1,-1,41,1,2,39,1,47900,1,2,6,6,-1,-1,-1,-1,-1
28839,40,8,25,6,1,44,1,47900,1,30,5,1,4,5,-1,-1,-1
28871,42,11,38,6,2,39,2,47900,1,26,2,1,4,-1,-1,-1,-1
28890,46,2,37,6,1,40,2,47900,1,35,3,6,4,-1,-1,-1,-1
28897,40,1,32,2,1,40,2,47900,1,108,2,1,-1,-1,-1,-1,-1
28995,10,3,62,3,1,46,2,47900,1,22,3,1,4,3,6,-1,-1
29050,-1,-1,17,6,1,37,1,47900,2,119,6,1,-1,-1,-1,-1,-1
29089,46,13,19,6,1,40,2,47900,1,3,5,1,9,-1,-1,-1,-1
29091,40,1,42,1,2,43,2,47900,1,16,5,1,-1,-1,-1,-1,-1
29186,38,14,31,6,1,39,2,47900,1,26,2,2,10,-1,-1,-1,-1
29230,32,2,30,6,2,43,2,47900,1,17,2,6,4,1,-1,-1,-1
29332,22,22,44,4,1,43,2,47900,1,24,3,6,10,-1,-1,-1,-1
29368,38,14,21,6,1,39,2,47900,2,3,5,6,10,-1,-1,-1,-1
