PERSONID,PRDTIND1,PRDTOCC1,PRTAGE,PEMARITL,PESEX,PEEDUCA,PTDTRACE,PRFTLF,GTCBSA,PEHRUSL1,PEHRUSLT
8078,42,10,28,1,2,44,1,1,30780,40,40
8089,40,10,27,1,2,44,1,1,30780,40,40
8090,22,16,27,1,1,43,1,1,30780,40,40
10187,25,20,46,1,1,34,1,1,31080,40,40
10188,16,21,54,1,2,33,1,1,31080,35,35
10190,6,21,18,6,1,36,1,1,31080,40,40
10210,51,12,43,4,2,40,1,1,40900,40,40
10214,22,16,25,6,2,39,2,2,46700,20,20
10215,23,22,25,6,2,40,2,2,46700,30,30
10228,38,14,35,1,1,43,1,1,37100,40,40
10232,1,18,79,3,2,32,1,1,37100,-4,-4
10238,10,4,60,1,1,40,1,1,37100,40,40
10240,40,8,25,6,2,43,1,1,37100,50,50
10241,40,5,27,6,2,44,1,2,37100,25,25
10254,32,16,36,1,2,43,8,1,41940,40,40
10255,22,16,37,1,1,43,1,1,41940,40,40
10283,51,3,33,1,2,40,2,1,40900,40,40
10290,36,1,49,1,1,44,4,1,41940,50,50
10298,46,13,41,6,1,39,4,1,41940,60,60
10300,23,17,55,1,1,40,1,1,41940,40,40
10301,38,14,53,1,2,39,1,2,41940,20,20
10303,23,22,42,1,1,40,1,2,40900,-4,-4
10313,4,19,23,6,1,37,1,1,40900,-4,-4
10321,8,21,37,1,2,44,1,1,41940,40,40
10322,41,10,37,1,1,45,1,1,41940,40,40
10325,40,8,52,1,2,44,1,2,40900,30,30
10326,8,3,41,1,1,40,1,1,40900,40,40
10330,38,17,19,6,1,39,4,1,40900,40,40
10331,36,17,22,6,1,40,21,1,40900,40,40
10336,8,4,40,6,1,43,4,2,41940,24,24
10337,42,11,35,1,2,39,4,1,41940,-4,-4
10338,42,11,35,1,2,39,4,1,41940,-4,-4
10339,44,15,40,1,1,39,4,1,41940,40,40
10340,44,15,40,1,1,39,4,1,41940,40,40
10343,8,20,45,1,2,42,4,1,41940,40,40
10344,8,4,44,1,1,42,4,1,41940,40,40
10351,38,22,56,4,1,40,2,1,40140,40,40
10352,41,10,39,1,1,42,4,2,41940,32,32
10353,51,4,37,1,2,42,4,1,41940,40,40
10358,33,9,55,1,2,40,1,1,41860,40,40
10362,40,22,27,6,1,40,4,2,41940,25,25
10367,4,19,53,4,1,39,1,1,40140,40,40
10368,30,1,18,6,1,43,4,1,41940,40,40
10370,22,17,30,6,1,40,1,1,41860,40,40
10371,12,2,31,1,1,43,1,1,40140,50,50
10376,51,17,47,6,2,39,1,1,40140,40,40
10377,51,21,19,6,2,39,1,2,40140,29,29
10379,51,17,45,6,2,39,1,1,40140,40,40
10391,32,3,33,6,2,42,1,1,41860,40,40
10393,46,1,71,1,2,43,4,1,31080,55,55
10394,46,16,74,1,1,43,4,2,31080,20,20
10395,36,2,48,1,2,44,4,2,41860,-4,-4
10396,48,15,49,1,1,39,1,1,41860,35,35
10397,28,3,27,6,2,44,1,1,41860,40,40
10398,10,21,25,6,1,42,1,1,41860,60,60
10400,36,7,35,6,2,45,4,1,31080,40,40
10401,36,4,27,6,2,43,1,1,41860,40,40
10405,42,1,59,1,1,44,1,1,41860,40,40
10408,42,15,61,1,2,34,4,2,41860,20,20
10410,46,1,35,6,1,41,4,2,41860,20,20
